00 0.235 0.231 0.184
03 0.237 0.233 0.186
06 0.245 0.241 0.191
08 0.257 0.252 0.200
11 0.275 0.266 0.210
14 0.298 0.281 0.223
17 0.325 0.298 0.238
20 0.356 0.315 0.254
23 0.393 0.332 0.273
25 0.455 0.348 0.290
